File ID,File Name,Destination Folder,Source Folder,Feature,Date,Time,Size (bytes),Version,CRC32,Options
00001,iQXmlGrp.tpw,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-IQXML\template\win,Always Install,2017/07/13,22:06:45,3958,,EDCBC032,
00002,iQXmlPar.tpw,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-IQXML\template\win,Always Install,2017/07/13,22:06:34,37785,,6E3EF2E3,
00003,iQXmlWrt.tpw,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-IQXML\template\win,Always Install,2017/07/13,22:06:20,21530,,5CA82423,
00004,iQXML.inc,%_SB_INSTALLDIR%\accessory\libsrc\win,C:\GitHub\Devuna-IQXML\libsrc\win,Always Install,2017/07/13,22:02:06,11019,,7E2C8DE1,
00005,iqxml.dll,%_SB_INSTALLDIR%\accessory\bin,C:\GitHub\Devuna-IQXML\bin,Always Install,2017/07/14,18:03:28,559316,4.4.1.0,9FFD11E6,
00006,iqxml.lib,%_SB_INSTALLDIR%\accessory\lib,C:\GitHub\Devuna-IQXML\lib,Always Install,2016/09/12,17:32:42,5417,,D054C540,
00007,version.lib,%_SB_INSTALLDIR%\accessory\lib,C:\GitHub\Devuna-IQXML\lib,Always Install,2017/07/13,12:29:27,690,,E0A0D911,
00008,cal16.ico,%_SB_INSTALLDIR%\accessory\images,C:\GitHub\Devuna-IQXML\application\iqxml,Always Install,2017/07/13,10:30:14,1406,,5467CB1E,
00009,rtfDateTime.ico,%_SB_INSTALLDIR%\accessory\images,C:\GitHub\Devuna-IQXML\application\iqxml,Always Install,2017/07/13,10:31:03,2998,,1ECEB450,
00010,iQXml.tpl,%_SB_INSTALLDIR%\accessory\template\win,C:\GitHub\Devuna-IQXML\template\win,Always Install,2017/07/13,22:05:21,3885,,2BD7B112,
00011,abc.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2006/01/24,08:37:17,147015,,A2003624,
00012,AddressExample.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2014/10/25,09:11:44,2726,,920721B5,
00013,BankInformation.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2012/03/09,23:13:11,240,,F88B95AA,
00014,cal16.ico,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2017/07/13,10:30:14,1406,,5467CB1E,
00015,ExamplesForIQXml.app,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2017/07/15,12:10:42,777440,,A79DE0FF,
00016,ExamplesForIQXml.cwproj,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2017/07/15,12:07:15,2928,,8508FD34,
00017,ExamplesForIQXml.sln,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2017/07/13,12:46:11,1079,,2109C118,
00018,Internal.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2009/10/16,17:23:17,741923,,6C644FAC,
00019,InvoiceExample.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2008/05/27,14:53:11,1268,,418D7085,
00020,PrimaryKeyExtended.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2006/01/31,11:47:00,1883,,B0DCFDB9,
00021,PrimaryKeySet.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2005/04/06,17:50:06,792,,7C66851E,
00022,RawContent.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2013/09/12,20:21:24,110,,DD7C8535,
00023,rtfDateTime.ico,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2017/07/13,10:31:03,2998,,1ECEB450,
00024,SoapExample.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2016/02/26,19:40:23,642,,D442C28D,
00025,Softball.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2016/01/17,15:37:12,2696,,640F9DA7,
00026,UTF8.XML,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2016/05/07,13:18:18,453,,15CA0075,
00027,Work.XML,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\ExamplesForIQXml,C:\GitHub\Devuna-IQXML\examples\ExamplesForIQXml,Always Install,2017/07/13,13:12:00,1557,,A36E5981,
00028,IQRecent.app,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQRecent,C:\GitHub\Devuna-IQXML\examples\IQRecent,Always Install,2017/07/15,10:18:02,94580,,B1D8A169,
00029,IQRecent.cwproj,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQRecent,C:\GitHub\Devuna-IQXML\examples\IQRecent,Always Install,2017/07/15,10:13:51,1811,,4A06AF6F,
00030,IQRecent.sln,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQRecent,C:\GitHub\Devuna-IQXML\examples\IQRecent,Always Install,2017/07/13,12:51:45,1047,,DF7C2558,
00031,InvoiceExample.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQXMLTemplateExample,C:\GitHub\Devuna-IQXML\examples\IQXMLTemplateExample,Always Install,2008/05/27,14:53:11,1268,,418D7085,
00032,IQXMLTemplateExample.app,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQXMLTemplateExample,C:\GitHub\Devuna-IQXML\examples\IQXMLTemplateExample,Always Install,2017/07/15,11:50:29,56964,,DC64A6B6,
00033,IQXMLTemplateExample.cwproj,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQXMLTemplateExample,C:\GitHub\Devuna-IQXML\examples\IQXMLTemplateExample,Always Install,2017/07/15,11:46:30,1820,,C5DD3D83,
00034,IQXMLTemplateExample.sln,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQXMLTemplateExample,C:\GitHub\Devuna-IQXML\examples\IQXMLTemplateExample,Always Install,2017/07/13,12:50:25,2033,,565C5858,
00035,OutputExample.xml,%_CSIDL_COMMON_DOCUMENTS%\Softvelocity\Clarion10\Accessory\iQXML\Examples\IQXMLTemplateExample,C:\GitHub\Devuna-IQXML\examples\IQXMLTemplateExample,Always Install,2017/07/15,11:49:52,1642,,7CDC4875,
00036,iqxml.chm,%_SB_INSTALLDIR%\accessory\documents\iQXML,C:\GitHub\Devuna-IQXML\help,Always Install,2017/07/13,22:25:37,141971,,C17848AF,
